Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 30/30 | Episode Length 11.63
Num success 30/30 | Episode Length 10.20
Num success 30/30 | Episode Length 9.83
Num success 30/30 | Episode Length 9.77
Num success 30/30 | Episode Length 10.60
Num success 29/30 | Episode Length 10.73
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 8.33
Num success 30/30 | Episode Length 8.80
Num success 30/30 | Episode Length 9.20
Num success 30/30 | Episode Length 9.17
Num success 30/30 | Episode Length 9.00
Num success 30/30 | Episode Length 8.70
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 8.27
Num success 30/30 | Episode Length 8.50
Num success 30/30 | Episode Length 9.67
Num success 30/30 | Episode Length 9.00
Num success 30/30 | Episode Length 8.63
Num success 30/30 | Episode Length 9.47
Num success 30/30 | Episode Length 8.57
Num success 30/30 | Episode Length 9.10
Num success 30/30 | Episode Length 8.60
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 9.33
Num success 30/30 | Episode Length 8.73
Num success 30/30 | Episode Length 8.67
Num success 30/30 | Episode Length 8.97
Num success 30/30 | Episode Length 8.67
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 9.17
Num success 30/30 | Episode Length 9.23
Num success 30/30 | Episode Length 8.60
Num success 30/30 | Episode Length 8.43
Num success 30/30 | Episode Length 9.27
Num success 30/30 | Episode Length 8.10
Num success 30/30 | Episode Length 9.70
Num success 30/30 | Episode Length 8.47
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 8.37
Num success 30/30 | Episode Length 9.00
Num success 30/30 | Episode Length 9.20
Num success 30/30 | Episode Length 9.37
Num success 30/30 | Episode Length 8.67
Num success 30/30 | Episode Length 8.67
Num success 30/30 | Episode Length 8.97
Num success 30/30 | Episode Length 8.37
Num success 30/30 | Episode Length 8.90
Num success 30/30 | Episode Length 8.90
Num success 30/30 | Episode Length 8.30
Num success 30/30 | Episode Length 9.03
Num success 30/30 | Episode Length 8.50
Num success 30/30 | Episode Length 8.30
Num success 30/30 | Episode Length 8.37
Num success 30/30 | Episode Length 8.10
Num success 30/30 | Episode Length 8.57
Num success 30/30 | Episode Length 8.17
Num success 30/30 | Episode Length 8.63
Num success 30/30 | Episode Length 8.23
Num success 30/30 | Episode Length 8.23
Num success 30/30 | Episode Length 8.97
Num success 30/30 | Episode Length 8.97
Num success 30/30 | Episode Length 8.00
Num success 30/30 | Episode Length 9.63
Num success 30/30 | Episode Length 8.17
Num success 30/30 | Episode Length 8.83
Num success 30/30 | Episode Length 8.70
Num success 30/30 | Episode Length 8.47
Num success 30/30 | Episode Length 9.13
Num success 30/30 | Episode Length 8.63
Num success 30/30 | Episode Length 9.00
Num success 30/30 | Episode Length 7.90
Num success 30/30 | Episode Length 8.63
Num success 30/30 | Episode Length 8.83
Num success 30/30 | Episode Length 8.07
Num success 30/30 | Episode Length 8.43
Num success 30/30 | Episode Length 9.03
Num success 30/30 | Episode Length 8.43
Num success 30/30 | Episode Length 8.20
Num success 30/30 | Episode Length 8.70
Num success 30/30 | Episode Length 8.80
Num success 30/30 | Episode Length 8.83
Num success 30/30 | Episode Length 7.97
Num success 30/30 | Episode Length 8.33
Num success 30/30 | Episode Length 8.13
Num success 30/30 | Episode Length 9.40
Num success 30/30 | Episode Length 8.53
Num success 30/30 | Episode Length 8.57
Num success 30/30 | Episode Length 8.97
Num success 30/30 | Episode Length 8.33
Num success 30/30 | Episode Length 8.00
Num success 30/30 | Episode Length 8.87
Num success 30/30 | Episode Length 8.70
Num success 30/30 | Episode Length 8.70
Num success 30/30 | Episode Length 8.40
Num success 30/30 | Episode Length 8.00
Num success 30/30 | Episode Length 8.77
Num success 30/30 | Episode Length 8.80
Num success 30/30 | Episode Length 8.30
Num success 30/30 | Episode Length 8.20
Num success 30/30 | Episode Length 8.00
Num success 30/30 | Episode Length 8.50
Num success 30/30 | Episode Length 8.10
Num success 30/30 | Episode Length 8.47
Num success 30/30 | Episode Length 7.97
Num success 30/30 | Episode Length 7.73
Num success 30/30 | Episode Length 9.17
Num success 30/30 | Episode Length 8.07
Num success 30/30 | Episode Length 8.73
Num success 30/30 | Episode Length 8.30
Num success 30/30 | Episode Length 8.03
